不丹	900020
中非	900034
临沧	530900
丹吉尔	903895
丽江	530700
乌斯怀亚	901022
亚庇	912188
伊斯坦布尔	905096
伊春	230700
伊犁哈萨克	654000
伊瓜苏	901550
伯班克	906081
佩特拉	903536
克孜勒苏柯尔克孜	653000
冈比亚	916079
冰岛	900076
几内亚	900070
几内亚比绍	900071
加拉加斯	907583
勃固	911131
南平	350700
叙利亚	900167
古晋	903672
叶卡捷琳堡	917353
吉达	904523
哈瓦那	901788
哥斯达黎加	900042
商洛	611000
固原	640400
图尔库	901897
圣何塞	911308
圣卢西亚	916064
圣多明各	901842
坡州	903570
坦加勒	904846
塔城	654200
塞尔维亚	900152
塞维利亚	904644
多哈	904323
多哥	900172
大分	903525
大理	532900
委内瑞拉	900186
威海	371000
宁德	350900
安卡拉	905085
宣城	341800
宿迁	321300
尼日利亚	900126
山南	542200
巴勒斯坦	900131
巴斯	905184
巴淡岛	902895
广安	511600
广州	440100
庆阳	621000
康提	904841
廊坊	131000
延安	610600
德宏	533100
德州	371400
悉尼	915167
成都	510100
扎金索斯	902490
拉脱维亚	900094
摩尔多瓦	900113
文山	532600
斯威士兰	900164
新余	360500
日惹	902884
杭州	330100
林芝	542600
枣庄	370400
槟城	903678
比萨	903115
河内	907590
法兰克福	912074
波士顿	911771
波尔图	902105
波尔多	901994
波贝	901607
波黑	900022
津巴布韦	900190
济州岛	903552
海地	900073
海法	903011
海牙	903962
温哥华	911984
湖南	430000
湘潭	430300
烟台	370600
爱媛	903534
特拉维夫	903008
玉溪	530400
玻利维亚	900021
瓦努阿图	900185
甘孜	513300
科伦坡	904838
科克	902996
科索沃	917069
立陶宛	900100
米拉马尔	909084
绥化	231200
绵阳	510700
美奈	908618
肇庆	441200
苏斯	911836
苏瓦	901878
英国	900181
葡萄牙	900138
董里	904970
衡水	131100
达勒姆	911903
达尔文	901083
金伯利	904410
金边	901595
钦州	450700
锡耶纳	903063
锦州	210700
阿塞拜疆	900012
阿姆斯特丹	912132
阿富汗	900001
陇南	621200
雷根斯堡	902302
香港	810000
马里	900107
鹿儿岛	903461
七台河	230900
万隆	902891
三宝垄	902893
东莞	441900
临夏	622900
乌克兰	900179
亚历山大	912125
伊兹密尔	905095
伏尔加格勒	904369
伯尔尼	904910
停泊岛	903709
六盘水	520200
兴安	152200
加德满都	903926
北海道	903485
南非	900143
卡罗维发利	901807
卢萨卡	907647
古巴	900045
哥伦比亚	911838
喀什	653100
因特拉肯	904911
圣文森特和格林纳丁斯	900161
塞拉利昂	900154
墨尔本	912071
安顺	520400
巴塞尔	904925
巴布亚新几内亚	900133
布里斯托尔	912009
布鲁日	901499
常州	320400
广西	450000
张家口	130700
张掖	620700
德国	900065
忻州	140900
恰纳卡莱	905098
惠灵顿	912054
意大利	900083
拉罗汤加岛	901736
